Source,Target,Type,Weight,Friendly/Hostile,Pages
42,90,undirected,1,Friendly,NA
42,95,undirected,1,Friendly,NA
42,96,undirected,2,Hostile,NA
42,100,undirected,1,Hostile,NA
42,104,undirected,1,Friendly,NA
42,105,undirected,1,Friendly,NA
43,90,undirected,3,Friendly,NA
43,94,undirected,1,Friendly,NA
46,72,undirected,1,Friendly,NA
46,106,undirected,1,Hostile,NA
49,50,undirected,1,Friendly,NA
51,52,undirected,1,Hostile,NA
54,55,undirected,1,Friendly,NA
54,64,undirected,1,Hostile,NA
54,102,undirected,1,Friendly,NA
54,101,undirected,1,Friendly,NA
54,76,undirected,1,Friendly,NA
54,62,undirected,1,Hostile,NA
54,57,undirected,1,Friendly,NA
54,129,undirected,6,Friendly,NA
54,113,undirected,3,Friendly,NA
54,172,undirected,1,Friendly,NA
57,58,undirected,1,Friendly,NA
57,62,undirected,2,Hostile,NA
57,64,undirected,2,Hostile,NA
57,59,undirected,2,Friendly,NA
57,76,undirected,1,Friendly,NA
57,115,undirected,1,Hostile,NA
57,113,undirected,2,Friendly,NA
57,78,undirected,1,Friendly,NA
57,129,undirected,1,Friendly,NA
57,69,undirected,1,Friendly,NA
57,157,undirected,1,Hostile,NA
57,158,undirected,1,Hostile,NA
57,166,undirected,1,Hostile,NA
57,169,undirected,1,Friendly,NA
57,90,undirected,4,Hostile,NA
59,60,undirected,1,Friendly,NA
59,78,undirected,2,Friendly,NA
59,113,undirected,1,Friendly,NA
62,113,undirected,2,Hostile,NA
62,129,undirected,1,Hostile,NA
63,131,undirected,1,Friendly,NA
64,65,undirected,2,Hostile,NA
64,66,undirected,1,Hostile,NA
64,70,undirected,1,Hostile,NA
64,69,undirected,1,Hostile,NA
64,71,undirected,1,Friendly,NA
64,170,undirected,1,Hostile,NA
65,66,undirected,1,Friendly,NA
66,67,undirected,2,Hostile,NA
67,68,undirected,1,Friendly,NA
67,69,undirected,1,Hostile,NA
73,74,undirected,1,Friendly,NA
75,83,undirected,1,Friendly,NA
75,84,undirected,1,Friendly,NA
75,85,undirected,1,Friendly,NA
75,86,undirected,1,Friendly,NA
75,76,undirected,1,Friendly,NA
76,77,undirected,2,Friendly,NA
76,82,undirected,1,Friendly,NA
76,101,undirected,1,Friendly,NA
76,102,undirected,1,Friendly,NA
76,113,undirected,1,Friendly,NA
76,123,undirected,1,Hostile,NA
76,158,undirected,1,Hostile,NA
77,82,undirected,1,Friendly,NA
78,79,undirected,1,Friendly,NA
78,80,undirected,1,Hostile,NA
78,113,undirected,1,Friendly,NA
83,86,undirected,1,Friendly,NA
83,84,undirected,1,Friendly,NA
83,85,undirected,1,Friendly,NA
84,86,undirected,1,Friendly,NA
84,85,undirected,1,Friendly,NA
85,86,undirected,1,Friendly,NA
90,91,undirected,1,Friendly,NA
90,95,undirected,1,Friendly,NA
90,103,undirected,1,Hostile,NA
91,92,undirected,1,Friendly,NA
92,93,undirected,1,Friendly,NA
97,98,undirected,1,Friendly,NA
98,99,undirected,1,Friendly,NA
101,102,undirected,1,Friendly,NA
107,108,undirected,1,Friendly,NA
107,129,undirected,1,Friendly,NA
107,113,undirected,1,Friendly,NA
108,134,undirected,1,Friendly,NA
